title;price;url_listing;posting_date;kelurahan;kabupaten_kota
Dijual Sepatu Bola Puma Future Ultimate FG (Baru);1450000;https://olx.co.id/item/dijual-sepatu-bola-puma-future-ultimate-fg-baru-iid-925267424;2024-08-26 00:00:00;Kramat Jati;Jakarta Timur
Sepatu Puma Warna Hitam;129900;https://olx.co.id/item/sepatu-puma-warna-hitam-iid-896244141;2024-08-26 00:00:00;Limo;Depok Kota
Puma TRC BLAZE Peach Size 43;650000;https://olx.co.id/item/puma-trc-blaze-peach-size-43-iid-914960668;2024-08-26 00:00:00;Pancoran;Jakarta Selatan
PUMA RALPH SAMPSON SNEAKERS PUTIH ORI;700000;https://olx.co.id/item/puma-ralph-sampson-sneakers-putih-ori-iid-922617831;2024-08-26 00:00:00;Tegalrejo;Yogyakarta Kota
sepatu Puma Ignite;250000;https://olx.co.id/item/sepatu-puma-ignite-iid-916971301;2024-08-26 00:00:00;Kramat Jati;Jakarta Timur
Sepatu puma TRINOMIC original slip on size 43;250000;https://olx.co.id/item/sepatu-puma-trinomic-original-slip-on-size-43-iid-920830333;2024-08-26 00:00:00;Cibodas;Tangerang Kota
SEPATU PUMA FULLBLACK ORIGINAL;310000;https://olx.co.id/item/sepatu-puma-fullblack-original-iid-925260763;2024-08-26 00:00:00;Sukarame;Bandar Lampung Kota
Sepatu Puma Sparco;300000;https://olx.co.id/item/sepatu-puma-sparco-iid-921215024;2024-08-26 00:00:00;Bekasi Barat;Bekasi Kota
Sepatu Puma smash v2 L white amazone green 365215-36;700000;https://olx.co.id/item/sepatu-puma-smash-v2-l-white-amazone-green-365215-36-iid-922617200;2024-08-26 00:00:00;Cilandak;Jakarta Selatan
SEPATU BOLA NIKE PHANTOM GX ACADEMY PUMA FUTURE MATCH;500000;https://olx.co.id/item/sepatu-bola-nike-phantom-gx-academy-puma-future-match-iid-925257195;2024-08-26 00:00:00;Pasar Minggu;Jakarta Selatan
PUMA.   No. 38.   Ori;350000;https://olx.co.id/item/puma-no-38-ori-iid-922897178;2024-08-26 00:00:00;Semampir;Surabaya Kota
Puma Slipstream Lo;1500000;https://olx.co.id/item/puma-slipstream-lo-iid-919107923;2024-08-26 00:00:00;Duren Sawit;Jakarta Timur
Puma Rebound Lay Up Lo SL White-Green;600000;https://olx.co.id/item/puma-rebound-lay-up-lo-sl-white-green-iid-925245127;2024-08-26 00:00:00;Sawahan;Surabaya Kota
Sepatu BIG SiZE Puma size 46;550000;https://olx.co.id/item/sepatu-big-size-puma-size-46-iid-912458598;2024-08-26 00:00:00;Bekasi Selatan;Bekasi Kota
Sepatu Futsal Puma Ultra 4.1 Original;450000;https://olx.co.id/item/sepatu-futsal-puma-ultra-41-original-iid-892494269;2024-08-26 00:00:00;Mampang Prapatan;Jakarta Selatan
Sepatu Puma Clyde Clydezilla MIJ (Made in Japan);900000;https://olx.co.id/item/sepatu-puma-clyde-clydezilla-mij-made-in-japan-iid-922143859;2024-08-26 00:00:00;Kiaracondong;Bandung Kota
Sepatu olah raga  puma ukuran 39;200000;https://olx.co.id/item/sepatu-olah-raga-puma-ukuran-39-iid-759935100;2024-08-26 00:00:00;Pamulang;Tangerang Selatan Kota
Puma clyde hardwood team white;349000;https://olx.co.id/item/puma-clyde-hardwood-team-white-iid-921407606;2024-08-26 00:00:00;Pancoran;Jakarta Selatan
Puma thunder spectra whisper white;299000;https://olx.co.id/item/puma-thunder-spectra-whisper-white-iid-921702838;2024-08-26 00:00:00;Johar Baru;Jakarta Pusat
Puma Clyde OG Suede, Original, 1x Fitting, Langka, Koleksi Gak Kepake;800000;https://olx.co.id/item/puma-clyde-og-suede-original-1x-fitting-langka-koleksi-gak-kepake-iid-925238907;2024-08-25 00:00:00;Cempaka Putih;Jakarta Pusat
Sepatu puma 1948 Mid L;500000;https://olx.co.id/item/sepatu-puma-1948-mid-l-iid-904320793;2024-08-25 00:00:00;Lakarsantri;Surabaya Kota
Puma RS-X Efekt PRM, Original, 1x Fitting, Koleksi Gak Kepake;800000;https://olx.co.id/item/puma-rs-x-efekt-prm-original-1x-fitting-koleksi-gak-kepake-iid-925238028;2024-08-25 00:00:00;Cempaka Putih;Jakarta Pusat
Sepatu Puma Ori;750000;https://olx.co.id/item/sepatu-puma-ori-iid-925235523;2024-08-25 00:00:00;Gubeng;Surabaya Kota
Sepatu Bola Puma Future 7 Play;600000;https://olx.co.id/item/sepatu-bola-puma-future-7-play-iid-925234525;2024-08-25 00:00:00;Pajang;Surakarta Kota
Sepatu Puma (new) yg sayang suami;350000;https://olx.co.id/item/sepatu-puma-new-yg-sayang-suami-iid-884490637;2024-08-25 00:00:00;Balaraja;Tangerang Kab.
Sepatu Puma BMW Cat Drift;275000;https://olx.co.id/item/sepatu-puma-bmw-cat-drift-iid-921285259;2024-08-25 00:00:00;Tapos;Depok Kota
Sneakers Puma Blue Like New 99,99%;250000;https://olx.co.id/item/sneakers-puma-blue-like-new-9999-iid-925230633;2024-08-25 00:00:00;Denpasar Selatan;Denpasar Kota
Puma tx-3 vietnam;175000;https://olx.co.id/item/puma-tx-3-vietnam-iid-919938423;2024-08-25 00:00:00;Jatimakmur;Bekasi Kab.
Puma caracal white;150000;https://olx.co.id/item/puma-caracal-white-iid-919939204;2024-08-25 00:00:00;Jatimakmur;Bekasi Kab.
Sepatu PUMA MAYZE Wanita;1100000;https://olx.co.id/item/sepatu-puma-mayze-wanita-iid-925227693;2024-08-25 00:00:00;Kebayoran Baru;Jakarta Selatan
Sandal anak Puma x Spongebob;350000;https://olx.co.id/item/sandal-anak-puma-x-spongebob-iid-916503075;2024-08-25 00:00:00;Bekasi Barat;Bekasi Kota
Puma TRC Blaze HC;1500000;https://olx.co.id/item/puma-trc-blaze-hc-iid-925225142;2024-08-25 00:00:00;Panyileukan;Bandung Kota
SEPATU PUMA SUEDE MAYU ORIGINAL SIZE 37,5;245000;https://olx.co.id/item/sepatu-puma-suede-mayu-original-size-375-iid-925224886;2024-08-25 00:00:00;Pondok Aren;Tangerang Selatan Kota
Sepatu Futsal Puma;225000;https://olx.co.id/item/sepatu-futsal-puma-iid-881361454;2024-08-25 00:00:00;Pondok Gede;Bekasi Kota
Sepatu Safety Merk Puma Original 100%;2099999;https://olx.co.id/item/sepatu-safety-merk-puma-original-100-iid-890649589;2024-08-25 00:00:00;Balikpapan Tengah;Balikpapan Kota
keds dan puma wanita;850000;https://olx.co.id/item/keds-dan-puma-wanita-iid-925219666;2024-08-25 00:00:00;Setu;Tangerang Selatan Kota
PUMA R System size 43;250000;https://olx.co.id/item/puma-r-system-size-43-iid-913195676;2024-08-25 00:00:00;Kramat Jati;Jakarta Timur
Puma Trinomic sze 40;350000;https://olx.co.id/item/puma-trinomic-sze-40-iid-923931502;2024-08-25 00:00:00;Pamulang;Tangerang Selatan Kota
Sepatu Running Puma Soft Foam;200000;https://olx.co.id/item/sepatu-running-puma-soft-foam-iid-925206896;2024-08-25 00:00:00;Jatiwarna;Bekasi Kota
Puma Women Storm Y Metallic;250000;https://olx.co.id/item/puma-women-storm-y-metallic-iid-923937940;2024-08-25 00:00:00;Pasar Rebo;Jakarta Timur
